Day,Treatment,Yeast,Mating,Sex,CageID,Rep,TotalWeight1,TotalWeight2,BoatWeight1,BoatWeight2,AvTotal,AvBoat,AvBody
4,8,Y,Y,M,3,2,77.946,77.943,76.962,77.115,77.9445,77.0385,0.1812
4,8,Y,Y,F,4,1,67.037,67.016,65.178,65.185,67.0265,65.1815,0.369
4,8,Y,Y,M,4,2,74.611,74.655,73.604,73.583,74.633,73.5935,0.2079
6,1,N,N,F,1,1,61.681,61.673,59.786,59.771,61.677,59.7785,0.3797
6,1,N,N,F,1,2,61.259,61.249,59.556,59.532,61.254,59.544,0.342
6,1,N,N,F,2,1,75.121,75.083,73.428,73.471,75.102,73.4495,0.3305
6,1,N,N,F,2,2,68.215,68.18,66.627,66.613,68.1975,66.62,0.3155
6,1,N,N,F,3,1,69.889,69.831,68.242,68.279,69.86,68.2605,0.3199
6,1,N,N,F,3,2,66.241,66.179,64.579,64.552,66.21,64.5655,0.3289
6,1,N,N,F,4,1,63.123,63.104,61.316,61.326,63.1135,61.321,0.3585
6,1,N,N,F,4,2,57.707,57.73,56.182,56.143,57.7185,56.1625,0.3112
6,2,N,N,M,1,1,76.889,76.82,75.636,75.577,76.8545,75.6065,0.2496
6,2,N,N,M,1,2,72.673,72.663,71.475,71.489,72.668,71.482,0.2372
6,2,N,N,M,2,1,73.412,73.367,72.36,72.276,73.3895,72.318,0.2143
6,2,N,N,M,2,2,74.593,74.562,73.357,73.331,74.5775,73.344,0.2467
6,2,N,N,M,3,1,68.701,68.721,67.59,67.645,68.711,67.6175,0.2187
6,2,N,N,M,3,2,65.763,65.793,64.681,64.672,65.778,64.6765,0.2203
6,2,N,N,M,4,1,67.145,67.143,65.968,65.988,67.144,65.978,0.2332
6,2,N,N,M,4,2,65.757,65.781,64.687,64.697,65.769,64.692,0.2154
6,3,Y,N,F,1,1,89.907,89.44,87.969,87.914,89.6735,87.9415,0.3464
6,3,Y,N,F,1,2,63.445,63.45,61.416,61.425,63.4475,61.4205,0.4054
6,3,Y,N,F,2,1,73.079,73.064,70.931,70.949,73.0715,70.94,0.4263
6,3,Y,N,F,2,2,61.033,60.991,59.127,59.11,61.012,59.1185,0.3787
6,3,Y,N,F,3,1,77.954,77.999,75.836,75.757,77.9765,75.7965,0.436
6,3,Y,N,F,3,2,54.002,54.112,52.252,52.232,54.057,52.242,0.363
6,3,Y,N,F,4,1,75.422,75.434,73.302,73.236,75.428,73.269,0.4318
6,3,Y,N,F,4,2,68.147,68.152,66.052,66.108,68.1495,66.08,0.4139
6,4,Y,N,M,1,1,67.664,67.656,66.521,66.504,67.66,66.5125,0.2295
6,4,Y,N,M,1,2,79.949,79.951,78.83,78.78,79.95,78.805,0.229
6,4,Y,N,M,2,1,69.369,69.354,68.229,68.2,69.3615,68.2145,0.2294
6,4,Y,N,M,2,2,74.598,74.597,73.326,73.331,74.5975,73.3285,0.2538
6,4,Y,N,M,3,1,65.7,65.652,64.424,64.523,65.676,64.4735,0.2405
6,4,Y,N,M,3,2,72.679,72.776,71.602,71.594,72.7275,71.598,0.2259
6,4,Y,N,M,4,1,72.795,72.783,71.67,71.608,72.789,71.639,0.23
6,4,Y,N,M,4,2,74.859,74.895,73.849,73.73,74.877,73.7895,0.2175
6,5,N,Y,F,1,1,77.328,77.331,75.821,75.819,77.3295,75.82,0.3019
6,5,N,Y,M,1,2,64.419,64.389,63.511,63.446,64.404,63.4785,0.1851
6,5,N,Y,F,2,1,56.569,56.513,55.172,55.198,56.541,55.185,0.2712
6,5,N,Y,M,2,2,55.55,55.506,54.554,54.542,55.528,54.548,0.196
6,5,N,Y,F,3,1,63.598,63.613,61.99,62.001,63.6055,61.9955,0.268333333
6,5,N,Y,M,3,2,45.689,45.712,44.879,44.966,45.7005,44.9225,0.1945
6,5,N,Y,F,4,1,79.96,79.969,78.302,78.246,79.9645,78.274,0.3381
6,5,N,Y,M,4,2,66.889,66.85,65.951,65.975,66.8695,65.963,0.1813
6,6,N,Y,F,1,1,69.232,69.221,67.746,67.749,69.2265,67.7475,0.2958
6,6,N,Y,M,1,2,50.39,50.376,49.544,49.504,50.383,49.524,0.1718
6,6,N,Y,F,2,1,57.905,57.961,56.36,56.404,57.933,56.382,0.3102
6,6,N,Y,M,2,2,56.173,56.191,55.229,55.245,56.182,55.237,0.189
6,6,N,Y,F,3,1,54.414,54.395,52.929,52.937,54.4045,52.933,0.2943
6,6,N,Y,M,3,2,71.542,71.508,70.699,70.728,71.525,70.7135,0.1623
6,6,N,Y,F,4,1,62.592,62.63,61.26,61.279,62.611,61.2695,0.2683
6,6,N,Y,M,4,2,70.332,70.356,69.586,69.639,70.344,69.6125,0.182875
6,7,Y,Y,F,1,1,62.997,62.906,61.13,61.101,62.9515,61.1155,0.3672
6,7,Y,Y,M,1,2,78.239,78.202,77.156,77.138,78.2205,77.147,0.2147
6,7,Y,Y,F,2,1,67.77,67.789,66.062,66.071,67.7795,66.0665,0.3426
6,7,Y,Y,M,2,2,69.882,69.866,68.862,68.829,69.874,68.8455,0.2057
6,7,Y,Y,F,3,1,50.423,50.557,48.716,48.746,50.49,48.731,0.3518
6,7,Y,Y,M,3,2,61.708,61.743,60.716,60.696,61.7255,60.706,0.2039
6,7,Y,Y,F,4,1,68.909,68.892,67.48,67.485,68.9005,67.4825,0.3545
6,7,Y,Y,M,4,2,83.659,83.414,82.61,82.624,83.5365,82.617,0.229875
6,8,Y,Y,F,1,1,88.026,88.004,86.171,86.173,88.015,86.172,0.3686
6,8,Y,Y,M,1,2,65.317,65.27,64.236,64.232,65.2935,64.234,0.2119
6,8,Y,Y,F,2,1,40.853,40.86,38.98,39.005,40.8565,38.9925,0.3728
6,8,Y,Y,M,2,2,61.767,61.789,60.796,60.81,61.778,60.803,0.195
6,8,Y,Y,F,3,1,54.891,54.885,52.763,52.714,54.888,52.7385,0.4299
6,8,Y,Y,M,3,2,78.002,77.983,76.886,77.024,77.9925,76.955,0.2075
